Title,Seasons,Episodes,Country,Premiere Year,Final Year,Original Channel,Technique
Castlevania,,32,United States,2017,2021,Netflix,Traditional
Catch! Teenieping,2,78,South Korea,2020,Present,"KBS2 (season 1), JEI TV (season 2)",CGI
CatDog,4,68,US,1998,2005,Nickelodeon,Traditional
Catscratch,1,20,United States,2005,2007,Nickelodeon,Traditional
Cave Kids,1,8,US,1996,1996,Syndication,Traditional
Ceasar and Chuy,,26,United States,2007,2008,LATV,Flash
Cédric,3,52,France,2001,2001,Canal J,Traditional
Celebrity Deathmatch,6,93,"Canada, US",1998,2002,"MTV, MTV2",Stop-Motion
Celebrity Deathmatch,6,93,"Canada, US",2006,2007,"MTV, MTV2",Stop-Motion
Centaurworld,2,18,United States,2021,2021,Netflix,Traditional
Central Park,2,24,United States,2020,Present,Apple TV+,Flash
Century Sonny,,104,China,2006,2016,CCTV,CGI
ChalkZone,2,42,United States,2002,2008,Nickelodeon,Traditional
Chamki ki Duniya,,,India,2015,2016,Pogo,Flash
Channel Umptee-3,1,13,US,1997,1998,Kids' WB,Traditional
Chaotic,3,79,"Canada, United States",2006,2011,4Kids TV,Flash
Chaplin & Co,1,104,"France, India",2011,2012,France 3,CGI
Charlie and Lola,3,78,Britain,2005,2009,"CBeebies (United Kingdom), Discovery Kids (Latin American)",Flash
Charlie Chalk,1,13,UK,1988,1989,BBC1,Stop-Motion
Charlie's Colorforms City,,13,"Canada, United States",2019,2019,Netflix,CGI
Chhota Bheem,,82,India,2008,Present,Pogo,Traditional
Chibiverse,1,1,United States,2022,Present,Disney Channel,Traditional
Chicago Party Aunt,1,8,United States,2021,Present,Netflix,Flash
Chico Bon Bon: Monkey with a Tool Belt,4,38,United States,2020,2020,Netflix,CGI
Chilly Beach,,65,Canada,2003,2008,CBC Television,Flash
"China, IL",3,30,United States,2011,2015,Adult Swim,Flash
Chip 'n Dale Rescue Rangers,3,65,US,1989,1990,"The Disney Channel, Syndication",Traditional
Chip 'n' Dale: Park Life,1,12,"France, United States",2021,Present,Disney+,Flash
Chip and Potato,2,40,"Canada, Britain",2018,Present,"Family Jr. (Canada), Netflix (United States)",Flash
Chirp,1,52,Canada,2015,2016,CBC Television,Flash
Chloe's Closet,2,52,UK,2010,2017,"CITV (United Kingdom), KiKA (Germany), Sprout",Flash
Chop Chop Ninja,1,20,Canada,2018,2018,Teletoon,ToonBoom Harmony
Chop Chop Ninja Challenge,,40,Canada,2014,2015,Teletoon,CGI
Chop Socky Chooks,,26,"Canada, Britain",2008,2010,"Teletoon, Cartoon Network",CGI
Chowder,3,49,United States,2007,2010,Cartoon Network,Traditional
Chozen,,13,United States,2014,2014,FX,Flash
Chris Colorado,1,26,France,2000,2000,France 3,Traditional
Chuck's Choice,1,20,Canada,2017,2017,YTV (Canada),Flash
Chucklewood Critters,2,26,US,1998,1999,Seven Network,Traditional
Chuggington,,104,Britain,2008,2015,BBC Two,CGI
Chuggington,,104,Britain,2021,Present,BBC Two,CGI
Chumballs,,26,France,2009,2009,France 5,Traditional
Circle Square,1,40,"United Kingdom, Ireland",2021,Present,Milkshake!,Flash
City of Ghosts,1,6,"United States, France",2021,2021,Netflix,CGI
CJ the DJ,,52,Australia,2009,2010,ABC3,Flash
Clang Invasion,,26,"Canada, Singapore",2007,2007,YTV,Flash
Clanners,,,Spain,2011,2012,Clan,CGI
Clara in Foodland,,26,Brazil,2009,2010,Discovery Kids,Flash
Clarence,,130,United States,2014,2018,Cartoon Network,Traditional
Class of 3000,2,28,United States,2006,2008,Cartoon Network,Flash
Class of the Titans,2,52,Canada,2005,2008,Teletoon,Traditional
Classical Baby,1,6,United States,2005,2005,"HBO, HBO Family",Traditional
Clay Kids,2,52,Spain,2013,2015,Gloob,Stop-motion
Cleo & Cuquin,2,78,Spain Mexico,2018,2020,Clan TV,CGI
Cleopatra in Space,3,26,United States,2020,2021,"DreamWorks Channel, Peacock",Flash
Clerks: The Animated Series,1,6,United States,2000,2002,ABC,Flash/Traditional
Clic & Cat,,52,Italy,2004,2004,Rai 2,Flash
Click and Clack's As the Wrench Turns,,10,United States,2008,2008,PBS,Traditional
Clifford the Big Red Dog,1,7,Canada,1988,1988,Syndication,Traditional
Clifford the Big Red Dog,2,65,"Britain, United States",2000,2003,PBS Kids,Traditional
Clifford the Big Red Dog,1,40,"Canada, United States",2019,2021,"Amazon Prime, PBS Kids",Flash
Clifford's Puppy Days,,42,"Britain, United States",2003,2006,"PBS Kids, CBeebies, Discovery Kids",Traditional
Clone High,1,13,"Canada, United States",2002,2003,"Teletoon at Night, MTV",Traditional
Close Enough,3,24,United States,2020,2022,HBO Max,Traditional
Cloudy with a Chance of Meatballs,2,104,"Canada, United States",2017,2018,"Cartoon Network, YTV",Flash
Coach Me If You Can,1,52,France,2020,Present,France Televisions,Flash
Cococinel,1,52,France,1992,1992,,Traditional
Cocomong,3,78,South Korea,2008,2015,EBS,CGI
Coconut Fred's Fruit Salad Island,2,13,"Canada, United States",2005,2006,Kids' WB,Flash
Code Lyoko,4,95,France,2003,2007,France 3,CGI/Traditional
Code Lyoko: Evolution,1,26,France,2013,2013,"France 4, Canal J",CGI
Code Monkeys,,26,United States,2007,2008,G4,Flash
Codename: Kids Next Door,6,81,United States,2002,2008,Cartoon Network,Traditional
Colourblocks,1,5,United Kingdom,2022,Present,CBeebies,CGI
Combo Niños,,26,France,2008,2008,"Jetix, TF1",Flash
Commander Clark,1,52,France,2010,2010,YouTube,Flash
Committed,1,13,Canada,2001,2001,CTV,Traditional
Conan and the Young Warriors,1,13,US,1994,1994,CBS,Traditional
Conan the Adventurer,2,65,"US, Canada, France",1992,1994,Syndication,Traditional
Connie the Cow,,44,Spain,2003,2007,"Noggin, Teledeporte",Traditional
Constantine: City of Demons,,5,United States,2018,2019,CW Seed,Traditional
Corduroy,1,26,"Canada, China",2000,2001,PBS Kids,Traditional
Corn & Peg,,20,Canada,2019,2020,"Nickelodeon, Treehouse TV",Toon Boom Harmony
Corner Gas Animated,,46,Canada,2018,2021,The Comedy Network,Flash
Cosmic Quantum Ray,,26,"France, Germany, United States",2007,2008,KiKa,CGI
Costume Quest,,20,United States,2019,2020,Amazon Prime Video,CGI/Flash
Count Duckula,4,65,"US, UK",1988,1993,ITV,Traditional
Counterfeit Cat,1,52,"Canada, Britain",2016,2017,"Disney XD (United Kingdom), Teletoon (Canada)",Flash
Courage the Cowardly Dog,4,52,US,1999,2002,Cartoon Network,Traditional
Cow and Chicken,3,52,US,1997,1999,Cartoon Network,Traditional
Cracked,1,52,Canada,2016,2016,Teletoon,CGI
Craig of the Creek,4,143,United States,2018,Present,Cartoon Network,Traditional
Crapston Villas,1,20,UK,1995,1997,Channel 4,Stop-Motion
Crash Canyon,2,26,Canada,2011,2013,Teletoon at Night,Flash
Crash Zoom,,6,United Kingdom,2015,Present,YouTube,Flash
Crashbox,2,52,"Canada, US",1999,2001,HBO Family,"Traditional, CGI, Live-Action, Stop Motion"
Creative Galaxy,3,68,"Canada, United States",2013,2017,Amazon Video,CGI
Creature Comforts,3,27,Britain,2003,2007,ITV,Stop motion
Creepschool,,26,"Canada, France, Sweden",2004,2004,Teletoon,Traditional
Creepy Crawlers,1,23,"US, France",1994,1996,Syndication,Traditional
Creepy Crawlies,1,52,UK,1987,1989,CITV,Traditional
Critters.TV,,,Ireland,2019,Present,RTEjr,
Cro,1,20,US,1993,1994,ABC,Traditional
Crocadoo,1,52,Australia,1996,1998,Nine Network,Traditional
Crossing Swords,2,20,United States,2020,2021,Hulu,Stop-Motion
Cubix: Robots for Everyone,2,26,South Korea,2001,2003,"SBS, Kids' WB",CGI
Cuocarina,,26,Italy,2007,2011,"Rai 3, Rai Yoyo",Flash
Cupcake & Dino: General Services,2,26,"Brazil, Canada",2018,2019,"Netflix, Teletoon, Disney Channel (Latin America)",Traditional
Curious George,,104,United States,2006,Present,PBS Kids,Traditional/Flash
Cyberchase,12,126,"Canada, United States",2002,Present,PBS Kids,"Traditional (Season 1–5), Flash (Season 6–present)"
Cybersix,1,13,"Canada, Japan",1999,2000,"Teletoon, Fox Kids",Traditional
D.N. Ace,,40,Canada,2019,Present,Teletoon,Toon Boom Harmony
Da Boom Crew,,13,"Britain, Canada, United States",2004,2004,Kids' WB,Traditional
Da Jammies,1,13,"United States, Canada",2015,Present,Netflix,CGI
Da Möb,1,14,Sweden,2001,2001,Fox Family,Traditional
DaDuDiDo,5,30,Malaysia,2014,Present,,CGI
Daft Planet,1,13,Canada,2002,2002,Teletoon at Night,Flash
Dan Dare: Pilot of the Future,1,26,"Britain, United States",2001,2001,Channel Five,CGI
Dan Vs.,,53,United States,2011,2013,The Hub,Flash
Dance-A-Lot Robot,1,10,United States,2010,2010,Playhouse Disney,CGI/Live-action
Danger & Eggs,,13,United States,2017,2017,Amazon Video,Traditional
Danger Mouse (2015),2,99,Britain,2015,2017,CBBC,Toon Boom[1]
Danger Rangers,1,16,United States,2005,2006,"PBS Kids, CBS",Traditional
Daniel Spellbound,TBA,TBA,United States,2022,2022,Netflix,CGI
Daniel Tiger's Neighborhood,,113,"Canada, United States",2012,Present,PBS Kids,Flash
Danny Phantom,3,53,United States,2004,2007,Nickelodeon,Traditional
Daria,5,65,US,1997,2002,MTV,Traditional
Dark Oracle,2,26,Canada,2004,2006,YTV,Traditional
Darkstalkers,1,13,US,1995,1995,Syndication,Traditional
Darkwing Duck,3,91,US,1991,1992,"The Disney Channel, Syndication, ABC",Traditional
Dave the Barbarian,1,21,United States,2004,2005,Disney Channel,Traditional
Dawn of the Croods,4,52,United States,2015,2018,Netflix,Traditional (Flash for the first few episodes)
DC Nation Shorts,,150,United States,2011,2014,Cartoon Network,Flash
DC Super Hero Girls,5,112,United States,2015,2018,YouTube,Flash
DC Super Hero Girls,1,42,United States,2019,Present,Cartoon Network,Flash
Dead End: Paranormal Park,1,10,United States,2022,Present,Netflix,Traditional
Deadly,,13,Australia,2006,2006,Nine Network,Flash
Deathstroke: Knights & Dragons,1,1,United States,2020,2020,CW Seed,Traditional
Decisive Battles,,26,United States,2004,2004,History,Traditional
Deepa & Anoop,1,10,United States,2022,Present,Netflix,CGI
Deer Dilemma,,147,"Brazil, Canada",2015,Present,"Nickelodeon Brazil, SBT, Teletoon",Flash
Deer Squad,1,40,China,2021,Present,iQIYI,CGI
Delfy and His Friends,1,91,Spain,1992,1992,TVE,Traditional
Delilah and Julius,2,52,Canada,2005,2008,Teletoon,Flash
Delta State,,26,"Canada, France",2004,2005,Teletoon at Night,Traditional
Dennis & Gnasher: Unleashed!,,52,Britain,2017,Present,CBBC,CGI
Dennis and Gnasher,2,26,UK,1996,1998,"BBC, TCC",Traditional
Dennis and Gnasher,,102,"Australia, Britain",2009,2013,Nine Network,"Traditional (Series 1, Series 2 uses Flash)"
"Denver, the Last Dinosaur",2,52,US,1988,1988,Syndication,Traditional
Descendants: Wicked World,2,33,United States,2015,2017,Disney Channel,CGI
Dessert Defender,1,3,France,2019,2019,Nintendo,Flash
Detention,1,13,US,1999,2000,Kids' WB,Traditional
Detentionaire,4,60,Canada,2011,2015,Teletoon,Flash
Devil May Care,1,6,United States,2021,Present,Syfy,Flash
Dex Hamilton: Alien Entomologist,,26,"Australia, Canada",2008,2008,"Network Ten, CBC",Flash
Dexter's Laboratory,4,78,US,1996,1998,Cartoon Network,Traditional
Dexter's Laboratory,4,78,US,2001,2003,Cartoon Network,Traditional
Diabolik,1,36,France,2000,2000,Fox Kids,Traditional
Dibo the Gift Dragon,,52,South Korea,2004,2004,,CGI
Dick Figures,6,54,United States,2010,2015,"YouTube, Mondo Media",Flash
Dicktown,1,10,United States,2020,Present,FXX,Traditional/Flash
Diego and Glot,2,20,Chile,2005,2005,Canal 13,Traditional
Dig & Dug with Daisy,1,16,UK,1993,1993,Channel 4,Stop-Motion
Dilbert,2,30,US,1999,2000,UPN,Traditional
"Dink, the Little Dinosaur",2,21,US,1989,1990,CBS,Traditional
Dino Aventuras,,20,Brazil,2015,2015,"Disney Channel, Disney Junior",CGI
Dino Babies,2,26,US,1994,1995,"BBC One/BBC Two, TCC, YTV",Traditional
Dino Ranch,2,26,United States,2021,Present,Disney Junior,CGI
Dino-Riders,1,14,US,1988,1988,Syndication,Traditional
Dinofroz,,26,Italy,2012,2012,K2,Flash
Dinopaws,,52,"Britain, Canada",2014,2017,"Treehouse TV, CBeebies",CGI
Dinosaucers,1,65,US,1987,1987,Syndication,Traditional
Dinosaur Train,,100,United States,2009,2020,PBS Kids,CGI
DinoSquad,,26,United States,2007,2008,CBS,Traditional
Dinotrux,8,78,"United States, Canada",2015,2018,"Netflix ,Discovery Kids (Latin American)",CGI
Dipdap,1,52,Britain,2011,2013,CBeebies,Traditional
Dirtgirlworld,,52,"Australia, Canada",2009,2011,ABC,CGI
Disenchantment,2,30,United States,2018,Present,Netflix,Traditional
Dive Olly Dive!,1,26,Australia,2005,2011,Qubo,CGI
DJ & the Fro,,9,United States,2009,2009,MTV,Traditional
"Do, Re & Mi",1,8,United States,2021,Present,Amazon Prime Video,CGI
Doc McStuffins,5,136,"Ireland, United States",2012,2020,Disney Junior,CGI
Dodo,1,20,United Kingdom,2022,Present,Cartoon Network / HBO Max,Flash
Dofus: The Treasures of Kerubim,2,52,France,2013,2014,Ludo,Flash
Dog City,3,31,"US, Canada",1992,1994,Fox Kids,Traditional
Dog Loves Books,1,52,Britain,2020,2020,CBeebies,Flash
Doggy Day School,,52,"Brazil, Canada",2008,2011,TVOntario,Flash
Dogs in Space,1,12,United States,2021,Present,Netflix,Traditional
Dogstar,,26,Australia,2006,2007,Nine Network,Flash
Doki,3,76,Canada,2013,2019,Discovery Kids,Flash
DokiDoki! PreCure,,49,Japan,2006,2014,ANN,Traditional
Don't Eat the Neighbours,1,26,Britain,2001,2001,CITV,Stop Motion
Donald's Quack Attack,1,95,US,1992,1997,Disney Channel,Traditional
Donkey Kong Country,2,40,"Canada, France",1997,2000,Teletoon,CGI
Doodlebugs,,6,Britain,2017,2018,BBC One,Flash
Doodlez,1,50,Canada,2002,2004,Teletoon,Flash
Dooly the Little Dinosaur,3,39,South Korea,1987,1988,"KBS1, Tooniverse",Traditional
Dooly the Little Dinosaur,3,39,South Korea,2008,2012,"KBS1, Tooniverse",Traditional
Doomlands,TBA,TBA,"Canada, United States",2022,Present,Roku,Flash
Doomsday Brothers,1,18,Canada,2020,2021,"Adult Swim (Canada), Télétoon la nuit",Flash
Dora and Friends: Into the City!,,40,United States,2014,2017,Nick Jr.,Flash
Dora the Explorer,8,178,United States,2000,2014,Nickelodeon,Traditional
Dorg Van Dango,1,52,Canada,2020,Present,"Family Channel, Nickelodeon",Traditional
Dorothy and the Wizard of Oz,,40,United States,2017,2020,Boomerang,Traditional
Dot.,2,78,"Canada, United States",2016,2018,"CBC Kids (Canada), Universal Kids (United States), Nat Geo Kids (Latin American)",Flash
Dota: Dragon's Blood,2,16,United States,2021,Present,Netflix,Traditional
Double Dragon,2,26,US,1993,1994,Syndication,Traditional
Doug,7,117,"France, US",1991,1994,"Nickelodeon, ABC",Traditional
Doug Unplugs,2,26,United States,2020,Present,Apple TV+,CGI
Downtown,1,13,US,1999,1999,MTV,Traditional
Dr. Dimensionpants,,26,Canada,2014,2015,Teletoon,Flash
"Dr. Katz, Professional Therapist",6,81,US,1995,2002,Comedy Central,Traditional
Dr. Xargle,1,13,UK,1997,1997,,Traditional
Dr. Zitbag's Transylvania Pet Shop,4,65,"UK, France",1994,1997,TF1,Traditional
Dragon,,78,"Canada, United States",2004,2007,Treehouse TV,Stop motion
Dragon Age: Absolution,TBA,TBA,United States,2022,2022,Netflix,Traditional
Dragon Booster,3,39,Canada,2004,2006,CBCJetix,CGI
Dragon Flyz,1,26,"US, France",1996,1997,ABC,Traditional
Dragon Hunters,,52,"France, Canada, USA",2006,2007,"France 3, Canal J, Teletoon, Cartoon Network",Traditional
Dragon Tales,3,94,"Canada, US",1999,2005,"PBS Kids, CBC Television",Traditional
Dragons: The Nine Realms,2,13,United States,2021,Present,Hulu / Peacock,CGI
Drawn Together,3,36,United States,2004,2007,Comedy Central,Traditional
Dreamkix,1,26,South Korea,2010,2010,Disney Channel (English),CGI
DreamWorks Dragons,8,118,United States,2012,2018,"Cartoon Network, Netflix",CGI
DreamWorksTV,,26,Canada,2016,Present,"Family Channel, YouTube",CGI
Driver Dan's Story Train,,108,UK,2010,2013,CBeebies,CGI
Droners,1,52,France,2020,2020,TF1,Flash
"Droopy, Master Detective",1,13,US,1993,1994,Fox Kids,Traditional
Duck & Goose,1,8,United States,2022,Present,Apple TV+,Traditional
Duck Dodgers,3,39,United States,2003,2005,Cartoon Network,Traditional
Duckman,4,70,US,1994,1997,USA Network,Traditional
DuckTales,4,100,US,1987,1990,Syndication,Traditional
DuckTales (2017),3,69,United States,2017,2021,"Disney XD, Disney Channel",Traditional
"Dude, That's My Ghost!",1,52,"France, UK",2013,2013,Disney XD,Flash
Dufan Defender,,26,Indonesia,2012,Present,Ancol Dreamlight,Traditional
Dug Days,1,5,United States,2021,2021,Disney+,CGI
Dumb and Dumber,1,13,US,1995,1995,ABC,Traditional
Dumbotz,,52,Australia,2019,Present,9Go!,Flash
Duncanville,3,33,United States,2020,Present,Fox,Traditional
Dylan,TBA,TBA,United States,2022,2022,Cartoonito,CGI
E4 Esting,8,25,Britain,2003,2018,E4,"Stop motion, Flash"
Eagle Riders,1,65,US,1996,1997,"Fox Kids, Syndication",Traditional
Earth to Luna!,,52,Brazil,2014,2018,Sprout,Flash
Earthworm Jim,2,23,US,1995,1996,Kids' WB,Traditional
Ebb and Flo,1,26,"Britain, Germany",2005,2005,,Traditional
Eckhart,3,39,"Canada, Hong Kong",2000,2000,Teletoon,Traditional
"Ed, Edd n Eddy",6,70,"Canada, US",1999,2009,Cartoon Network,Traditional
Eddsworld,65,6,United Kingdom,2003,Present,"Newgrounds, YouTube",Flash
Edgar & Ellen,,26,"Canada, United States",2007,2008,"YTV, Nicktoons Network",Flash
Edward and Friends,1,20,UK,1987,1987,BBC2,Stop-Motion
Eek! The Cat,5,75,"US, Canada",1992,1997,Fox Kids,Traditional
Ejen Ali,,26,Malaysia,2016,2018,TV3,CGI
El Chapulín Colorado Animado,5,74,Mexico,2015,2017,Canal 5,Flash
El Chavo Animado,,135,Mexico,2006,2014,Televisa,Traditional/Flash
El Deafo,1,3,United States,2022,2022,Apple TV+,Traditional
El Tigre: The Adventures of Manny Rivera,1,26,United States,2007,2008,Nickelodeon,Flash
Elena of Avalor,,40,United States,2016,2020,"Disney Channel, Disney Junior",CGI
Elinor Wonders Why,1,40,"Canada, United States",2020,Present,PBS Kids,Flash
Eliot Kid,,53,"France, Britain",2008,2008,CBBC,Flash
Ella the Elephant,1,52,Canada,2013,2014,TVOKids,CGI
Ellen's Acres,,48,United States,2006,2007,Cartoon Network,Flash
Ellie's World,2,52,Canada,2013,2015,Showcase,Traditional
Elliot Moose,2,26,Canada,1998,2000,"PBS, Treehouse TV, Playhouse Disney, CBC Kids","Traditional, Live-Action"
Elliott from Earth,1,16,United Kingdom,2021,2021,Cartoon Network,Flash
Eloise: The Animated Series,,13,United States,2006,2006,Starz,Flash
Endangered Species,1,26,Canada,2015,2015,"Teletoon (Canada), CBBC (United Kingdom), TG4 (Ireland), Boomerang (Australia)",CGI
Engie Benjy,,52,Britain,2003,2005,CITV,Stop motion/CGI
Eon Kid,,26,"South Korea, Spain",2006,2006,"KBS2, TVE2",CGI
Eon Kid,,26,"South Korea, Spain",2007,2008,Kids' WB,CGI
Epithet Erased,1,6,United States,2019,2019,YouTube,Flash
Erky Perky,3,78,"Australia, Canada",2006,2009,"Seven Network, YTV",CGI
Esme & Roy,,52,"Canada, United States",2018,2021,"HBO, Treehouse TV, HBO Max",Traditional
Eureka!,1,15,"United States, Ireland",2022,Present,Disney Junior,CGI
Everything's Rosie,4,105,UK,2010,2017,CBeebies,CGI
Evil Con Carne,,15,United States,2003,2008,Cartoon Network,Traditional
Exosquad,2,52,US,1993,1994,Syndication,Traditional
Extreme Dinosaurs,1,52,US,1997,1997,Syndication,Traditional
Extreme Ghostbusters,1,40,US,1997,1997,Syndication,Traditional
Eye Drops,1,13,United States,2002,2002,TechTV,Traditional
F Is for Family,5,44,United States,2015,2021,Netflix,Flash
Face's Music Party,1,11,United States,2022,Present,Nickelodeon,Traditional/Live-Action
Fairfax,1,8,United States,2021,Present,Amazon Prime Video,Flash
Fairview,1,8,United States,2022,Present,Comedy Central,Flash
Fairy Tale Police Department,1,26,Australia,2001,2002,Seven Network,Traditional
Family Dog,1,10,"US, Canada",1993,1993,CBS,Traditional
Family Guy,20,371,US,1999,2003,Fox,Traditional (seasons 1–7); Toon Boom Harmony (season 8 onward)
Family Guy,20,371,US,2005,Present,Fox,Traditional (seasons 1–7); Toon Boom Harmony (season 8 onward)
Famous 5: On the Case,,26,"France, Britain",2008,2008,"France 3, Disney Channel",Traditional
Fan’s Fantastic Features,1,4,United States,2020,Present,YouTube,Flash
Fanboy & Chum Chum,,52,United States,2009,2012,Nickelodeon,CGI
Fancy Nancy,3,51,United States,2018,2022,Disney Junior,CGI
Fangbone!,,26,Canada,2016,2017,Family Chrgd,Flash
Fantaghirò,1,26,Spain,1999,2000,Italia 1,Traditional
Fantastic Four,2,26,US,1994,1996,Syndication,Traditional
Fantastic Four: World's Greatest Heroes,,26,"France, United States",2006,2010,Nickelodeon UK,Traditional
Fantastic Max,2,26,US,1988,1990,BBC One,Traditional
Fantasy Patrol,2,52,Russia,2016,Present,"Moolt, Moolt in Cinema, YouTube",CGI/Flash
Fantasy Patrol: The Chronicles,,26,Russia,2019,Present,"Moolt, Moolt in Cinema, YouTube",CGI/Flash
Fantomcat,2,26,UK,1995,1996,ITV,Traditional
Fantomette,1,26,France,2000,2001,Canal J,Traditional
Farmkids,,26,Australia,2007,2008,ABC Kids,CGI
Farzar,1,10,United States,2022,Present,Netflix,Flash
Fast & Furious Spy Racers,2,16,United States,2019,2021,Netflix,CGI
Fat Dog Mendoza,2,26,"UK, US",1998,2001,Cartoon Network,Traditional
Father of the Pride,,14,United States,2004,2005,NBC,CGI
Fatherhood,,26,United States,2004,2005,Nick at Nite,Flash
Fennec,1,26,France,1998,2003,"Playhouse Disney, France 3",Traditional
Fetch the Vet,2,26,UK,1999,1999,ITV,Stop Motion
Fetch! with Ruff Ruffman,,100,United States,2006,2010,PBS Kids Go!,Live action/Flash
Fiddley Foodle Bird,1,13,UK,1992,1992,BBC1,Traditional
Fievel's American Tails,1,13,"US, Canada",1992,1992,CBS,Traditional
Fifi and the Flowertots,3,121,Britain,2005,2007,"Channel 5 (United Kingdom), Nick Jr. (United Kingdom), Discovery Kids (Latin American)",Stop motion
Fillmore!,2,26,United States,2002,2008,ABC Kids,Traditional
Filly Funtasia,2,26,"China, Hong Kong, Spain",2019,2020,"Frisbee, iQiyi",CGI
Final Space,,23,United States,2018,2021,"TBS, Adult Swim",Traditional
Firebuds,TBA,TBA,United States,2022,2022,Disney+ / Disney Junior,CGI
Firehouse Tales,1,17,United States,2005,2006,Cartoon Network,Traditional
Fireman Sam,11,200,UK,1987,Present,"CBBC, Channel 5",Stop-motion
Fish Hooks,3,110,United States,2010,2014,Disney Channel,Flash
Fish Police,1,6,US,1992,1992,CBS,Traditional
Fishtronaut,,108,"Brazil, Canada",2009,2015,Discovery Kids,Flash
Fix & Foxi and Friends,1,52,"Australia, Germany, Spain",2000,2000,"ARD, KiKa",Traditional
Fırıldak Ailesi,3,69,Turkey,2013,2016,Star TV,Flash
Flash Gordon,1,26,"Canada, France, US",1996,1997,ABC,Traditional
Fleabag Monkeyface,,52,Britain,2011,2012,CITV,CGI
Flight Squad,1,26,"Canada, France",1998,1998,"Teletoon, Télétoon, M6 Métropole Télévision",Traditional
Flipos,,,Chile,2010,2011,,CGI
Flipper and Lopaka,3,78,Australia,1999,2005,"Seven Network, ABC3",Traditional
Floogals,,52,Britain,2016,2020,Mikeshake!,CGI
"FloopaLoo, Where Are You?",2,104,France,2011,2014,"Canal+ Family (France), Télétoon+ (France), France 5, Zouzous (France), Pakapaka (Argentina)",Flash
Flower Pot Men,3,45,Britain,2001,2001,BBC2,Stop Motion
Fluffy Gardens,1,80,Ireland,2007,2010,"RTÉjr (Ireland), Tiny Pop (United Kingdom), Discovery Kids (Latin American), TVOKids (Canada)",Flash
Fly Tales,1,65,"Canada, France",1999,1999,Teletoon,Traditional
Flying Rhino Junior High,2,26,"Canada, Scotland, France",1998,2000,"CBS, Teletoon",Traditional
For Better or for Worse,1,6,Canada,1992,1992,"HBO, The Disney Channel",Traditional
For Better or For Worse,1,16,Canada,2000,2000,Teletoon,Traditional
Forest Friends,,52,France,2006,2007,TF1,Traditional
Forky Asks A Question,,10,United States,2019,2019,Disney+,CGI
Foster's Home for Imaginary Friends,6,79,United States,2004,2009,Cartoon Network,Flash
Fourways Farm,1,25,UK,1994,1995,Channel 4,Traditional
Fraggle Rock: The Animated Series,1,13,US,1987,1987,NBC,Traditional
Frankenstein's Cat,,22,"France, Britain",2007,2008,,Flash
Franklin,6,78,Canada,1997,2004,"Treehouse TV, CBS, Noggin",Traditional
Franklin and Friends,2,25,Canada,2011,2013,"Treehouse TV (Canada), Mediacorp (Singapore), Discovery Kids (Latin American)",CGI
Franny's Feet,,52,"Canada, Britain",2003,2010,"Family Channel, Five",Flash
Freak Show,,7,United States,2006,2007,Comedy Central,Flash
Freakazoid!,2,24,US,1995,1997,Kids' WB,Traditional
Freaktown,,26,Canada,2016,2016,Teletoon,Flash
Freaky Stories,3,35,Canada,1997,2000,YTV,Traditional
Fred the Caveman,1,13,"Canada, France",2002,2002,Teletoon,Traditional
Fred's Head,,26,"Canada, France",2008,2008,"Teletoon, France 2",Flash
Free for All,,7,United States,2003,2003,Showtime,Traditional
Free Willy,2,13,"US, Canada",1994,1994,ABC,Traditional
Freedom Fighters: The Ray,,12,United States,2017,2018,CW Seed,Traditional
Freefonix,,40,Britain,2008,2008,CBBC,CGI
Fresh Beat Band of Spies,1,20,"United States, Canada",2015,2016,"Nickelodeon, Nick Jr.",Flash
Friday: The Animated Series,,8,United States,2007,2007,MTV2,Flash
FriendZSpace,1,20,Belgium,2022,2022,ABC Me,CGI
Frisky Dingo,,25,United States,2006,2008,Adult Swim,Flash
Fudêncio e Seus Amigos,6,179,Brazil,2005,2011,MTV Brasil,Flash
Fugget About It,,39,Canada,2012,2016,Teletoon at Night,Flash
Full English,,6,Britain,2012,2012,Channel 4,Traditional
Funky Cops,,26,"France, United States",2002,2004,,Traditional
Funpak,1,13,Canada,2005,2005,YTV,"Flash, CGI, Stop-motion, Traditional"
Furiki Wheels,1,52,France,2017,2018,"Disney XD, Nat Geo Kids",Flash
Futurama,7,140,US,1999,2003,"Fox, Comedy Central, Hulu",Traditional
Futurama,7,140,US,2008,2013,"Fox, Comedy Central, Hulu",Traditional
Future-Worm!,,21,United States,2016,2018,Disney XD,Flash
Futz!,,26,Canada,2007,2007,Teletoon,Flash
G.I. Joe Extreme,2,26,US,1995,1997,Syndication,Traditional
G.I. Joe: A Real American Hero,2,44,US,1989,1989,Syndication,Traditional
G.I. Joe: Renegades,1,26,United States,2010,2011,The Hub,Traditional
G2G,,26,"Australia, Canada",2008,2008,Nine Network,Flash
G4's Late Night Peepshow,1,34,United States,2005,2006,G4,Traditional
Gabby's Dollhouse,4,33,United States,2021,Present,Netflix,CGI/Live-Action
Gadget & the Gadgetinis,1,52,"French, United States",2002,2003,"M6, Fox Kids",Traditional
Gadget Boy & Heather,2,52,"France, US",1995,1998,"M6, Syndication",Traditional
Galactik Football,,78,France,2006,2011,France 2,CGI
Game Over,,6,United States,2004,2004,UPN,CGI
Garfield and Friends,7,121,US,1988,1994,CBS,Traditional
